"","V1"
"X2000",44.9287490844727
"X2001",45.6749000549316
"X2002",46.9998512268066
"X2003",47.8515281677246
"X2004",48.8937492370605
"X2005",48.0956192016602
"X2006",48.7504081726074
"X2007",49.9173011779785
"X2008",50.9917602539062
"X2009",52.0031394958496
"X2010",55.8053703308105
"X2011",56.8044013977051
"X2012",57.5709991455078
"X2013",58.5660095214844
"X2014",59.5967483520508
"X2015",60.7380485534668
"X2016",62.3422813415527
"X2017",63.2356109619141
"X2018",63.7823715209961
"X2019",63.746768951416
"X2020",64.6073913574219
